epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0928,0.61274,1.78874,1.10775,0.55367,0.70394,0.67091,0.57597,0.54983,1.70679,1.07841,0.000551669,0.000551669,0.000551669
2,36.2306,0.65366,1.16558,1.1101,0.56585,0.76494,0.71863,0.57859,0.6844,1.26798,1.21733,0.00108541,0.00108541,0.00108541
3,53.1715,0.66275,1.03425,1.10762,0.56994,0.58104,0.55997,0.39375,1.00371,1.65096,1.51369,0.00159715,0.00159715,0.00159715
4,70.1051,0.66301,0.95251,1.10898,0.7234,0.77977,0.83652,0.70742,0.58683,0.87527,1.11143,0.00156798,0.00156798,0.00156798
5,86.8177,0.65554,0.88701,1.09718,0.58302,0.80472,0.70704,0.62051,0.51395,1.05177,1.05287,0.00153497,0.00153497,0.00153497
6,103.763,0.61724,0.79163,1.07478,0.75302,0.81403,0.85513,0.7689,0.47439,0.75286,1.0104,0.00150197,0.00150197,0.00150197
7,120.59,0.59662,0.77605,1.06391,0.7676,0.78553,0.82669,0.72239,0.52641,0.7684,1.04288,0.00146896,0.00146896,0.00146896
8,137.2,0.59934,0.76408,1.07162,0.77019,0.79839,0.83901,0.76477,0.45003,0.70828,0.99376,0.00143595,0.00143595,0.00143595
9,154.007,0.5728,0.70903,1.05606,0.60356,0.85248,0.8253,0.74922,0.45103,0.81713,0.97822,0.00140295,0.00140295,0.00140295
10,170.682,0.57931,0.71964,1.05581,0.82241,0.80677,0.88879,0.81227,0.43044,0.61143,0.96213,0.00136994,0.00136994,0.00136994
11,187.477,0.56386,0.70731,1.04766,0.84512,0.80384,0.89768,0.81175,0.43772,0.58372,0.98338,0.00133693,0.00133693,0.00133693
12,204.18,0.5613,0.68836,1.03831,0.82833,0.83257,0.89776,0.82696,0.42829,0.59676,0.96595,0.00130393,0.00130393,0.00130393
13,220.886,0.55253,0.65524,1.04057,0.76117,0.85095,0.88152,0.79659,0.45743,0.68126,0.97681,0.00127092,0.00127092,0.00127092
14,237.694,0.54036,0.65151,1.03685,0.82403,0.8481,0.91373,0.84428,0.39993,0.5035,0.94427,0.00123791,0.00123791,0.00123791
15,254.553,0.53546,0.6262,1.02899,0.78041,0.86515,0.8903,0.81382,0.42106,0.58372,0.9691,0.00120491,0.00120491,0.00120491
16,271.227,0.53684,0.61976,1.0286,0.82005,0.86474,0.91399,0.83488,0.43277,0.56376,0.96751,0.0011719,0.0011719,0.0011719
17,288.044,0.52719,0.59735,1.02551,0.82085,0.84727,0.90816,0.83105,0.41259,0.53148,0.95871,0.00113889,0.00113889,0.00113889
18,304.835,0.52409,0.59628,1.02133,0.75325,0.84844,0.86573,0.79546,0.41725,0.5791,0.95873,0.00110589,0.00110589,0.00110589
19,321.492,0.50885,0.57442,1.01802,0.85166,0.83889,0.91579,0.84612,0.40095,0.50011,0.95002,0.00107288,0.00107288,0.00107288
20,338.065,0.52103,0.57784,1.02007,0.75494,0.85707,0.90752,0.8418,0.38341,0.62026,0.93221,0.00103987,0.00103987,0.00103987
21,354.661,0.50687,0.56541,1.01688,0.84814,0.87967,0.93703,0.87177,0.38852,0.43741,0.93492,0.00100687,0.00100687,0.00100687
22,371.064,0.50318,0.56992,1.0063,0.8298,0.90401,0.92709,0.86872,0.38665,0.45957,0.93129,0.000973861,0.000973861,0.000973861
23,387.395,0.49995,0.55428,1.01355,0.85913,0.86305,0.9312,0.86973,0.37598,0.46572,0.92871,0.000940855,0.000940855,0.000940855
24,403.917,0.49927,0.53756,1.01292,0.81247,0.89548,0.90914,0.84641,0.38539,0.50953,0.93878,0.000907848,0.000907848,0.000907848
25,420.297,0.49851,0.54495,1.01453,0.83564,0.90257,0.9276,0.85468,0.39961,0.45363,0.95118,0.000874842,0.000874842,0.000874842
26,436.621,0.49077,0.52171,1.00702,0.88355,0.89045,0.93995,0.87623,0.3811,0.42829,0.93393,0.000841835,0.000841835,0.000841835
27,452.99,0.47274,0.50502,0.99758,0.88642,0.8842,0.94224,0.88533,0.37011,0.44056,0.9321,0.000808828,0.000808828,0.000808828
28,469.471,0.47209,0.50603,0.99693,0.84757,0.88616,0.92285,0.86445,0.36481,0.44089,0.92444,0.000775822,0.000775822,0.000775822
29,485.823,0.48492,0.51073,1.00179,0.78683,0.85263,0.91338,0.85253,0.38068,0.57165,0.93429,0.000742815,0.000742815,0.000742815
30,502.28,0.47704,0.50294,0.99078,0.81569,0.90291,0.92769,0.86983,0.3663,0.4592,0.93085,0.000709809,0.000709809,0.000709809
31,518.716,0.46302,0.47661,0.99366,0.83674,0.91283,0.93588,0.8726,0.37914,0.42188,0.93911,0.000676802,0.000676802,0.000676802
